Food Name,Calories (kcal),Protein (g),Carbohydrates (g),Fats (g),Fiber (g),Sugars (g)
Shrimp,508.1,14.3,69.2,12.7,7.6,14.5
Fennel,549.9,18.0,48.8,48.4,13.7,9.4
Pineapple,209.0,42.9,2.1,15.6,3.7,2.7
Avocado Oil,238.2,31.1,68.1,8.0,6.6,3.9
Paprika,437.6,49.0,2.0,37.6,4.7,16.5
Salmon,390.9,27.7,44.4,2.1,11.3,7.8
Bell Peppers,543.1,23.1,12.8,32.2,1.0,10.7
Mango,265.2,7.8,26.3,41.9,12.3,8.9
Mushrooms,262.0,21.1,69.2,41.3,14.1,19.8
Chicken Liver,355.8,9.0,49.9,33.5,9.8,6.0
Soy Milk,300.5,46.6,32.1,9.6,14.8,19.7
Chili Powder,128.6,40.5,3.0,47.5,13.0,15.3
Ricotta,538.2,22.7,48.4,49.8,0.0,17.2
Bacon,170.2,40.7,38.5,36.6,12.0,1.2
Peanut Butter,254.9,46.0,51.6,18.1,7.5,20.9
Olive Oil,73.4,22.6,58.6,0.2,12.6,0.9
Jicama,402.3,17.4,64.2,30.4,6.1,26.5
Yerba Mate,294.1,34.5,44.1,17.0,0.3,19.7
Kiwi,327.3,34.1,9.6,31.2,4.0,21.6
Butter,123.5,47.3,23.4,31.3,14.8,16.2
Sauerkraut,88.0,46.6,78.0,11.3,5.3,0.7
Soy Sauce,110.5,45.2,36.3,21.7,0.0,21.1
Garlic,521.0,3.7,65.6,4.5,0.8,17.3
Plums,186.4,31.1,19.6,38.5,2.2,10.2
Duck Liver,208.6,47.2,58.3,18.7,10.2,17.5
Gelatin,229.6,27.0,29.2,17.6,6.6,13.0
Chickpeas,90.8,3.1,0.9,5.6,7.5,27.5
Chestnuts,63.2,39.6,65.2,47.3,10.3,2.2
Banana,435.2,41.1,66.7,43.7,12.5,12.1
Greek Yogurt,339.1,46.9,2.6,24.9,10.2,28.9
Thyme,443.2,11.7,43.5,37.3,6.7,3.4
Black Pepper,516.2,49.2,49.5,27.8,9.3,8.1
Clams,212.6,31.1,7.2,7.0,12.9,26.7
Halibut,416.4,33.1,47.5,31.6,5.9,3.1
Turnips,559.2,20.4,37.2,10.0,12.3,28.2
Raisins,543.4,8.8,44.7,22.2,0.7,5.6
Goji Berries,460.0,37.1,20.4,4.0,6.3,8.2
Bone Broth,436.0,31.8,24.1,40.5,10.9,19.8
Cod,59.4,4.8,0.2,48.7,4.8,22.0
Artichoke,265.2,18.9,34.1,40.8,14.4,13.2
Lemons,50.5,9.8,60.6,43.8,1.4,23.1
Beets,316.1,42.1,43.3,11.5,14.3,29.6
Ginseng,387.2,26.7,47.4,26.0,9.3,11.5
Oranges,275.3,12.8,74.8,4.0,12.9,0.3
White Beans,53.0,35.5,72.8,37.4,1.8,28.3
Sardines,404.1,36.3,27.0,0.6,6.4,7.1
Salami,102.1,13.0,23.1,6.9,13.2,10.2
Seaweed,78.9,28.4,73.1,12.1,7.1,8.2
Crab,120.9,30.2,19.7,40.9,8.1,17.7
Onions,537.0,5.3,29.5,31.2,13.3,6.8
Celery,581.5,5.3,67.0,22.4,9.5,20.9
Pea Protein,450.9,17.3,79.5,40.4,8.2,5.7
Cloves,69.8,7.5,19.9,37.1,5.0,6.3
Flax Seeds,66.9,6.9,43.1,10.2,12.8,11.1
Leeks,409.6,35.6,27.0,26.4,11.6,28.5
Dates,155.2,47.2,63.7,15.1,10.6,14.8
Edamame,467.1,46.5,69.5,45.3,13.0,22.2
Kidney Beans,476.2,17.2,34.9,19.4,14.2,4.6
Rice Milk,137.3,18.6,26.0,7.9,10.7,19.3
Farro,534.3,6.7,45.2,15.7,4.7,5.1
Lamb,422.8,6.1,35.7,39.5,9.1,5.6
Coffee,486.5,43.6,50.0,12.8,3.2,10.3
Almonds,569.9,27.3,33.5,33.2,3.2,25.9
